Name,Description,Capacity,Current,Type,Latitude,Longitude
A,Between Taylor & Wait Chapel,40,-1,FS,36.134784,-80.279743
B,Between Taylor & Davis,25,-1,FS,36.133899,-80.27893
C,Benson Lot,25,-1,V,36.132299,-80.278315
E,Behind ZSR,25,-1,FS,36.131059,-80.278389
F,Next to football practice field,40,-1,FS,36.132551,-80.27403
G,Behind Bostwick & in front of Angelou,20,-1,FS,36.132542,-80.275016
H,Resident Life & Housing and Deacon OneCard parking,10,-1,FS,36.131849,-80.274318
J,Behind South & Collins,65,-1,G,36.131101,-80.274697
M,Between Kitchen & Manchester,8,-1,V,36.134294,-80.276554
N,Between Kitchen & Poteat,25,-1,V,36.134842,-80.277298
P,Between Poteat & Wait Chapel,40,-1,FS,36.135679,-80.278278
Q,Infront of Mangnolia & Dogwood,300,-1,G,36.135824,-80.279965
R2,Soccer Field Parking & next to Polo,35,-1,G,36.137489,-80.27999
S,Reynolda Walking Trail Parking,50,-1,G,36.131621,-80.281245
S1,Starling Hall Parking,50,-1,V,36.131141,-80.283425
S2,Welcome Center & Admissions Parking ,50,-1,V,36.130672,-80.282931
Satellite,Freshman lot by BB&T Field,500,-1,G,36.131983,-80.258465
T,Next to Winston Hall,35,-1,FS,36.131217,-80.280608
U,Palmer and Piccolo Parking,13,-1,G,36.135749,-80.273175
W1,Poteat Field and Law School Parking,150,-1,G,36.136531,-80.276065
W2,Behind ROTC,35,-1,G,36.137746,-80.277135
W3,Behind ROTC Alumni Hall,20,-1,FS,36.138432,-80.274372
W4,Behind Law School,30,-1,G,36.137811,-80.274527
X,Tennis Court Parking,10,-1,FS,36.136284,-80.274682
Z,Between Student Apartments and NCA 10,30,-1,G,36.13665,-80.282178
Z2,Sophomore Lot,350,-1,G,36.141365,-80.280408
Z3,Church Lot,100,-1,V,36.140571,-80.278848
Z4,Grad Student Parking,200,-1,G,36.140245,-80.277617
